Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Max_Dew_Point_F,MeanDew_Point_F,Min_Dewpoint_F,Max_Humidity,Mean_Humidity ,Min_Humidity ,Max_Sea_Level_Pressure_In ,Mean_Sea_Level_Pressure_In ,Min_Sea_Level_Pressure_In ,Max_Visibility_Miles ,Mean_Visibility_Miles ,Min_Visibility_Miles ,Max_Wind_Speed_MPH ,Mean_Wind_Speed_MPH ,Max_Gust_Speed_MPH,Precipitation_In ,Cloud_Cover ,Events,Wind_Dir_Degrees,zip
9/12/2013,76,69,62,59,58,57,84,71,57,29.98,29.95,29.9,10,10,8,18,6,22.0,0,5,,311,95113
9/13/2013,74,67,59,58,56,55,87,72,57,29.91,29.87,29.8,10,10,10,18,8,21.0,0,4,,313,95113
9/14/2013,72,66,59,56,55,54,87,72,57,29.85,29.82,29.77,10,10,10,14,8,18.0,0,4,,327,95113
9/15/2013,78,68,58,59,55,52,90,68,45,29.88,29.85,29.82,10,10,10,18,8,24.0,0,3,,317,95113
9/16/2013,79,71,62,59,57,53,90,68,45,29.91,29.87,29.81,10,10,10,22,8,28.0,0,4,,310,95113
9/17/2013,75,66,56,54,52,46,80,58,36,29.9,29.89,29.87,10,10,10,25,8,30.0,T,1,,309,95113
9/18/2013,83,69,55,53,49,43,83,54,24,29.92,29.87,29.82,10,10,10,20,6,23.0,0,0,,299,95113
9/19/2013,87,71,54,50,46,37,77,48,18,29.86,29.81,29.75,10,10,10,18,6,22.0,0,0,,294,95113
9/20/2013,76,66,56,58,54,49,80,65,50,29.88,29.84,29.79,10,10,10,18,7,28.0,0,2,,309,95113
9/21/2013,70,64,57,61,57,53,100,79,57,29.91,29.85,29.82,10,8,1,20,7,28.0,0.66,6,Rain,194,95113
9/22/2013,72,63,53,55,52,47,93,69,44,30.02,29.96,29.92,10,10,10,22,7,25.0,0,2,,287,95113
9/23/2013,80,67,54,61,54,51,86,63,39,30.03,29.98,29.93,10,10,10,20,6,25.0,0,0,,321,95113
9/24/2013,75,67,58,58,52,46,93,66,38,30.01,29.97,29.94,10,10,10,25,10,30.0,0,1,,301,95113
9/25/2013,70,63,55,50,45,41,77,57,37,29.95,29.9,29.85,10,10,10,24,12,29.0,0,1,,287,95113
9/26/2013,74,63,51,50,42,31,77,50,22,29.99,29.91,29.85,10,10,10,18,8,23.0,0,0,,298,95113
9/27/2013,78,64,49,45,40,33,80,50,20,30.1,30.05,30.0,10,10,9,18,5,23.0,0,0,,311,95113
9/28/2013,82,67,51,57,42,30,90,53,16,30.1,30.05,29.99,10,10,10,21,6,24.0,0,1,,335,95113
9/29/2013,77,66,54,61,56,53,93,70,46,30.12,30.09,30.05,10,10,10,16,6,21.0,0,2,,306,95113
9/30/2013,77,67,57,61,57,42,100,74,48,30.08,30.04,29.97,10,10,10,16,7,24.0,0,3,,334,95113
10/1/2013,72,63,53,53,46,40,78,58,38,30.03,29.98,29.93,10,10,10,17,5,22.0,0,3,,319,95113
10/2/2013,76,64,52,53,47,43,83,57,31,30.02,29.97,29.94,10,10,10,21,6,24.0,0,1,,313,95113
10/3/2013,73,62,51,47,38,31,72,46,20,30.07,30.01,29.95,10,10,10,23,10,28.0,0,0,,279,95113
10/4/2013,82,70,58,33,26,23,37,25,13,30.1,30.03,29.96,10,10,10,18,6,28.0,0,0,,320,95113
10/5/2013,85,67,49,37,31,24,50,31,11,30.2,30.13,30.09,10,10,10,13,3,15.0,0,0,,251,95113
10/6/2013,83,67,51,40,34,29,50,32,14,30.12,30.06,30.0,10,10,10,13,4,15.0,0,4,,299,95113
10/7/2013,81,68,54,47,36,24,62,38,13,30.0,29.94,29.88,10,10,10,17,5,20.0,0,2,,307,95113
10/8/2013,75,63,51,49,44,39,83,56,29,29.91,29.84,29.75,10,10,10,16,6,26.0,0,2,,302,95113
10/9/2013,68,59,50,48,45,41,89,66,42,29.76,29.69,29.65,10,10,9,14,6,20.0,0,2,,126,95113
10/10/2013,74,62,50,51,46,37,86,59,31,30.02,29.9,29.78,10,10,10,16,7,,0,1,,166,95113
10/11/2013,67,58,48,51,49,46,93,73,52,30.09,30.04,29.99,10,10,7,16,5,18.0,0,0,,209,95113
10/12/2013,71,59,46,50,46,42,96,68,40,30.02,29.98,29.92,10,10,9,18,5,24.0,0,1,,327,95113
10/13/2013,73,60,47,47,44,41,93,64,34,30.07,30.0,29.95,10,10,10,18,6,23.0,0,1,,226,95113
10/14/2013,78,63,48,45,41,35,77,50,22,30.12,30.06,29.99,10,10,10,13,4,,0,0,,288,95113
10/15/2013,79,63,47,44,37,30,66,43,19,30.04,30.0,29.94,10,10,10,17,5,21.0,0,0,,292,95113
10/16/2013,82,66,50,42,36,33,59,39,18,30.09,30.04,30.01,10,10,10,15,3,17.0,0,1,,302,95113
10/17/2013,80,65,49,45,36,30,61,39,16,30.08,30.03,29.96,10,10,10,15,4,17.0,0,0,,285,95113
10/18/2013,78,64,49,53,42,34,86,54,21,30.06,30.02,29.98,10,10,10,12,3,14.0,0,0,,295,95113
10/19/2013,78,64,49,54,48,44,83,57,30,30.09,30.03,29.99,10,10,9,10,2,15.0,0,0,,295,95113
10/20/2013,74,62,50,54,51,43,100,67,33,30.03,29.99,29.91,10,7,2,10,3,13.0,0,3,,302,95113
10/21/2013,70,61,51,55,52,49,100,74,47,30.01,29.97,29.92,10,7,2,9,3,14.0,0,3,,296,95113
10/22/2013,72,62,51,55,52,49,100,72,44,30.03,29.99,29.92,10,7,2,10,3,13.0,0,4,,298,95113
10/23/2013,67,60,52,53,52,51,100,82,63,29.99,29.95,29.91,10,5,1,13,4,15.0,0,5,,310,95113
10/24/2013,60,55,50,52,50,47,100,84,67,30.12,30.05,29.99,10,6,2,10,2,13.0,0,5,,302,95113
10/25/2013,69,58,47,53,49,46,93,69,45,30.18,30.13,30.09,10,8,3,10,2,13.0,0,5,,302,95113
10/26/2013,75,61,46,52,48,44,93,66,38,30.16,30.09,30.02,10,10,9,12,2,17.0,0,1,,288,95113
10/27/2013,63,57,50,52,48,45,100,78,55,30.04,29.91,29.74,10,9,4,28,8,35.0,0,5,,287,95113
10/28/2013,64,59,53,47,44,40,77,60,43,29.87,29.75,29.7,10,10,9,20,8,25.0,0,6,,256,95113
10/29/2013,63,56,49,49,46,44,89,71,52,30.06,29.97,29.88,10,10,10,14,6,17.0,0,4,,158,95113
10/30/2013,67,56,44,48,44,41,92,67,42,30.16,30.11,30.07,10,10,10,17,5,22.0,0,1,,260,95113
10/31/2013,72,58,44,46,43,40,93,62,31,30.18,30.12,30.06,10,10,10,9,4,,0,0,,284,95113
